here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/HEER_scores.txt
edge is 161:d-1with avg mrr 0.481477170628114
edge is 162:dwith avg mrr 0.8425925925925927
edge is 162:d-1with avg mrr 0.8703703703703705
edge is 163:dwith avg mrr 0.7855763517528223
edge is 163:d-1with avg mrr 0.8011586452762923
edge is 165:dwith avg mrr 0.6530303030303031
edge is 165:d-1with avg mrr 0.6264462809917355
edge is 166:dwith avg mrr 0.5166666666666667
edge is 166:d-1with avg mrr 1.0
edge is 167:dwith avg mrr 0.9772727272727273
edge is 167:d-1with avg mrr 0.9772727272727273
edge is 168:dwith avg mrr 1.0
edge is 168:d-1with avg mrr 0.9583333333333334
edge is 16:dwith avg mrr 0.2752886002886003
edge is 16:d-1with avg mrr 0.4894557823129252
edge is 170:dwith avg mrr 0.8148148148148148
edge is 170:d-1with avg mrr 0.8703703703703703
edge is 171:dwith avg mrr 0.96875
edge is 171:d-1with avg mrr 1.0
edge is 172:dwith avg mrr 0.9791666666666666
edge is 172:d-1with avg mrr 0.9895833333333334
edge is 173:dwith avg mrr 0.9375
edge is 173:d-1with avg mrr 1.0
edge is 174:dwith avg mrr 1.0
edge is 174:d-1with avg mrr 1.0
edge is 175:dwith avg mrr 0.782312925170068
edge is 175:d-1with avg mrr 0.761904761904762
edge is 176:dwith avg mrr 1.0
edge is 176:d-1with avg mrr 1.0
edge is 177:dwith avg mrr 0.9375
edge is 177:d-1with avg mrr 1.0
edge is 179:dwith avg mrr 0.96875
edge is 179:d-1with avg mrr 1.0
edge is 17:dwith avg mrr 0.8634030728996409
edge is 17:d-1with avg mrr 0.824609916314722
edge is 181:dwith avg mrr 0.35906139315230223
edge is 181:d-1with avg mrr 0.48787878787878786
edge is 182:dwith avg mrr 0.8395833333333333
edge is 182:d-1with avg mrr 0.975
edge is 183:dwith avg mrr 0.9117647058823529
edge is 183:d-1with avg mrr 0.807843137254902
edge is 184:dwith avg mrr 0.780952380952381
edge is 184:d-1with avg mrr 0.8699999999999999
edge is 185:dwith avg mrr 0.1644176136363636
edge is 185:d-1with avg mrr 0.31454951298701295
edge is 186:dwith avg mrr 0.7905982905982907
edge is 186:d-1with avg mrr 0.814102564102564
edge is 187:dwith avg mrr 0.5720779220779221
edge is 187:d-1with avg mrr 0.7676767676767675
edge is 188:dwith avg mrr 0.8181818181818182
edge is 188:d-1with avg mrr 0.8181818181818182
edge is 189:dwith avg mrr 0.7052629469296136
edge is 189:d-1with avg mrr 0.6284271284271284
edge is 18:dwith avg mrr 0.8274747474747475
edge is 18:d-1with avg mrr 0.8452861952861952
edge is 190:dwith avg mrr 1.0
edge is 190:d-1with avg mrr 1.0
edge is 191:dwith avg mrr 0.9351851851851851
edge is 191:d-1with avg mrr 0.9166666666666666
edge is 192:dwith avg mrr 0.7083333333333334
edge is 192:d-1with avg mrr 0.775
edge is 193:dwith avg mrr 0.3777417027417027
edge is 193:d-1with avg mrr 0.6084656084656084
edge is 195:dwith avg mrr 1.0
edge is 195:d-1with avg mrr 1.0
edge is 196:dwith avg mrr 0.75
edge is 196:d-1with avg mrr 1.0
edge is 197:dwith avg mrr 1.0
edge is 197:d-1with avg mrr 1.0
edge is 198:dwith avg mrr 0.6976791726791727
edge is 198:d-1with avg mrr 0.7217893217893218
edge is 199:dwith avg mrr 0.528030303030303
edge is 199:d-1with avg mrr 0.5616319444444444
edge is 19:dwith avg mrr 0.9343096921822324
edge is 19:d-1with avg mrr 0.9339019800360009
edge is 1:dwith avg mrr 0.6870716585002302
edge is 1:d-1with avg mrr 0.722201211486926
edge is 200:dwith avg mrr 0.4487078577987669
edge is 200:d-1with avg mrr 0.5261183261183261
edge is 201:dwith avg mrr 0.26666666666666666
edge is 201:d-1with avg mrr 0.35
edge is 202:dwith avg mrr 0.8888888888888888
edge is 202:d-1with avg mrr 0.8611111111111112
edge is 203:dwith avg mrr 0.85625
edge is 203:d-1with avg mrr 0.7988095238095239
edge is 204:dwith avg mrr 1.0
edge is 204:d-1with avg mrr 1.0
edge is 207:dwith avg mrr 0.42958333333333326
edge is 207:d-1with avg mrr 0.42929292929292934
edge is 209:dwith avg mrr 0.7777777777777778
edge is 209:d-1with avg mrr 0.611111111111111
edge is 20:dwith avg mrr 0.9588496844520942
edge is 20:d-1with avg mrr 0.976118760757315
edge is 210:dwith avg mrr 1.0
edge is 210:d-1with avg mrr 0.9444444444444444
edge is 211:dwith avg mrr 1.0
edge is 211:d-1with avg mrr 0.9285714285714286
edge is 212:dwith avg mrr 0.6086805555555554
edge is 212:d-1with avg mrr 0.5859375
edge is 214:dwith avg mrr 0.8816241230034333
edge is 214:d-1with avg mrr 0.90282131661442
edge is 215:dwith avg mrr 0.6155303030303029
edge is 215:d-1with avg mrr 0.6294191919191918
edge is 216:dwith avg mrr 0.9838709677419355
edge is 216:d-1with avg mrr 1.0
edge is 217:dwith avg mrr 0.9761904761904762
edge is 217:d-1with avg mrr 0.9523809523809523
edge is 218:dwith avg mrr 0.5498834498834498
edge is 218:d-1with avg mrr 0.6506410256410255
edge is 219:dwith avg mrr 0.1919642857142857
edge is 219:d-1with avg mrr 0.6458333333333333
edge is 21:dwith avg mrr 0.9232237266279819
edge is 21:d-1with avg mrr 0.9356433637284701
edge is 220:dwith avg mrr 1.0
edge is 220:d-1with avg mrr 1.0
edge is 221:dwith avg mrr 0.6392361111111111
edge is 221:d-1with avg mrr 0.5992063492063492
edge is 222:dwith avg mrr 0.9423076923076923
edge is 222:d-1with avg mrr 0.9230769230769231
edge is 223:dwith avg mrr 1.0
edge is 223:d-1with avg mrr 1.0
edge is 224:dwith avg mrr 0.5186992372706658
edge is 224:d-1with avg mrr 0.4853875489589775
edge is 226:dwith avg mrr 0.608641975308642
edge is 226:d-1with avg mrr 0.6333333333333333
edge is 227:dwith avg mrr 0.7777777777777778
edge is 227:d-1with avg mrr 0.825
edge is 228:dwith avg mrr 0.6644444444444445
edge is 228:d-1with avg mrr 0.5826190476190476
edge is 229:dwith avg mrr 0.9423076923076923
edge is 229:d-1with avg mrr 0.9615384615384616
edge is 22:dwith avg mrr 0.5073794908200052
edge is 22:d-1with avg mrr 0.45031864348584616
edge is 230:dwith avg mrr 0.9444444444444444
edge is 230:d-1with avg mrr 0.9259259259259258
edge is 231:dwith avg mrr 1.0
edge is 231:d-1with avg mrr 1.0
edge is 232:dwith avg mrr 0.24776334776334777
edge is 232:d-1with avg mrr 0.2788720538720539
edge is 233:dwith avg mrr 0.869047619047619
edge is 233:d-1with avg mrr 0.9285714285714286
edge is 235:dwith avg mrr 1.0
edge is 235:d-1with avg mrr 1.0
edge is 236:dwith avg mrr 0.4623456790123457
edge is 236:d-1with avg mrr 0.7222222222222222
edge is 23:dwith avg mrr 0.9930555555555555
edge is 23:d-1with avg mrr 0.9756944444444445
edge is 24:dwith avg mrr 0.4975008488243785
edge is 24:d-1with avg mrr 0.5573605805958748
edge is 25:dwith avg mrr 0.646949278865523
edge is 25:d-1with avg mrr 0.4478223130507395
edge is 26:dwith avg mrr 0.9689218921892189
